Country,Happiness score,Whisker-high,Whisker-low, GDP per capita, Social support,Healthy life expectancy,Freedom to make life choices, Generosity,Perceptions of corruption,Dystopia (1.85) + residual,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education
Iran,4.692,4.798,4.586,1.157,0.712,0.639,0.249,0.387,0.049,1.499,65.1,74.13,70.81,50.34,91.98,56.54,78.02,69.99,92.1,63.31,62.09,65.74,64.54,64.16,35.47,37.19
Ireland,6.977,7.043,6.911,1.536,1.558,0.81,0.573,0.428,0.298,1.774,61.93,82.71,69.24,33.86,97.17,90.96,77.84,64.86,94.38,57.77,68.8,56,18.62,50.08,26.38,40.34
Israel,7.213,7.28,7.146,1.375,1.376,0.838,0.406,0.33,0.085,2.802,88.91,93.03,87.86,85.86,99.23,95.34,87.82,89.72,98.85,89.98,80.49,82.11,93.09,83.71,86.21,80.42
Italy,5.964,6.043,5.885,1.395,1.445,0.853,0.256,0.173,0.028,1.813,80.61,90.95,87.1,63.78,99.27,100,83.23,81.28,99.06,81.56,84.04,83.74,77.8,71.68,32.56,73.06
Ivory Coast,4.18,4.275,4.085,0.603,0.905,0.049,0.448,0.201,0.13,1.845,82.62,89.1,88.3,70.46,99.5,99.84,84.94,72.1,98.99,79.81,84.81,89.58,79.67,66.14,63.66,72.38
Jamaica,5.311,5.581,5.041,0.926,1.368,0.641,0.474,0.234,0.055,1.612,50.65,54.43,58.09,39.45,71.68,44.75,45.92,55.38,55.27,67.45,49.53,60.1,53.93,49.71,44.8,9.35
Japan,5.92,5.991,5.849,1.417,1.436,0.913,0.506,0.121,0.164,1.363,72.42,75.3,78.6,63.37,94.34,81.44,76.05,49.37,88.05,79.85,75.79,70.7,73.95,73.25,64.94,41.32
Jordan,5.336,5.448,5.224,0.991,1.239,0.605,0.418,0.172,0.12,1.791,86.44,95.92,87.57,75.83,99.19,99.58,93.25,91.66,99.86,86.7,79.89,83.82,85.66,78.6,62.11,76.95
Kazakhstan,5.819,5.904,5.734,1.285,1.384,0.606,0.437,0.202,0.119,1.785,69.85,85.38,74.6,49.56,97.2,93.5,81.38,69.43,92.68,70.64,73.29,61.8,44.56,64.17,40.28,49.25
Kenya,4.553,4.656,4.45,0.56,1.068,0.31,0.453,0.445,0.065,1.652,66.01,81.23,66.6,50.2,97.86,81.98,76.29,68.79,98.98,71.46,44.18,51.77,27.97,61.83,49.12,61.87
Kuwait,6.105,6.192,6.018,1.633,1.26,0.632,0.496,0.228,0.215,1.64,56.17,52.65,68.78,47.08,74.35,35.97,48.83,51.43,79.49,66.82,62.67,66.13,52.59,60.82,37.2,37.7
